primitive,system_used,our_used,other_used,available,total_pct,our_pct,other_pct
LUT,11944.0,4189.0,7755.0,17600.0,67.864,23.801,44.062
LUTRAM,3862.0,3571.0,291.0,6000.0,64.367,59.517,4.85
FF,15406.0,4439.0,10967.0,35200.0,43.767,12.611,31.156
BRAM,10.5,0.0,10.5,60.0,17.5,0.0,17.5
IO,29.0,0.0,29.0,100.0,29.0,0.0,29.0
BUFG,5.0,0.0,5.0,32.0,15.625,0.0,15.625
MMCM,2.0,0.0,2.0,2.0,100.0,0.0,100.0
