results_xml,target_key,toplevel,test_module,module_area,testcase,classname,file,lineno,time_s,sim_time_ns,ratio_time,status
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper/axi_filter_wrapper_axi_filterwrapper/build/results.xml,axi_filter_wrapper,axi_filterwrapper,tests.test_axi_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_lenna_end_to_end,tests.test_axi_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper.py,394,47.535444021224976,2626640.0000000005,55256.45240269942,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper/axi_filter_wrapper_axi_filterwrapper/build/results.xml,axi_filter_wrapper,axi_filterwrapper,tests.test_axi_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_simple_image,tests.test_axi_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper.py,386,43.975990295410156,2626630.0,59728.72884397888,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper/axi_filter_wrapper_axi_filterwrapper/build/results.xml,axi_filter_wrapper,axi_filterwrapper,tests.test_axi_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_stress_fast,tests.test_axi_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper.py,434,0.0003173351287841797,0.0,0.0,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper/axi_filter_wrapper_axi_filterwrapper/build/results.xml,axi_filter_wrapper,axi_filterwrapper,tests.test_axi_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_stress_heavy_randomized,tests.test_axi_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper.py,466,0.0002498626708984375,0.0,0.0,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper_fast/axi_filter_wrapper_fast_axi_filterwrapper/build/results.xml,axi_filter_wrapper_fast,axi_filterwrapper,tests.test_axi_filter_wrapper_fast,Sobel + Filter Wrapper,test_axi_filter_wrapper_fast_backpressure_handshake_only,tests.test_axi_filter_wrapper_fast,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper_fast.py,648,9.179688453674316,192560.0,20976.7467569038,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper_fast/axi_filter_wrapper_fast_axi_filterwrapper/build/results.xml,axi_filter_wrapper_fast,axi_filterwrapper,tests.test_axi_filter_wrapper_fast,Sobel + Filter Wrapper,test_axi_filter_wrapper_fast_lenna_end_to_end,tests.test_axi_filter_wrapper_fast,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper_fast.py,588,9.34706425666809,169090.0,18090.17198949639,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper_fast/axi_filter_wrapper_fast_axi_filterwrapper/build/results.xml,axi_filter_wrapper_fast,axi_filterwrapper,tests.test_axi_filter_wrapper_fast,Sobel + Filter Wrapper,test_axi_filter_wrapper_fast_mountains_center_crop_end_to_end,tests.test_axi_filter_wrapper_fast,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper_fast.py,616,10.826077222824097,169090.0,15618.769062862004,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper_fast/axi_filter_wrapper_fast_axi_filterwrapper/build/results.xml,axi_filter_wrapper_fast,axi_filterwrapper,tests.test_axi_filter_wrapper_fast,Sobel + Filter Wrapper,test_axi_filter_wrapper_fast_simple_image,tests.test_axi_filter_wrapper_fast,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper_fast.py,579,8.610861778259277,169080.0,19635.665320617914,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper_fast/axi_filter_wrapper_fast_axi_filterwrapper/build/results.xml,axi_filter_wrapper_fast,axi_filterwrapper,tests.test_axi_filter_wrapper_fast,Sobel + Filter Wrapper,test_axi_filter_wrapper_fast_stress_fast,tests.test_axi_filter_wrapper_fast,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper_fast.py,664,37.37294793128967,706970.0,18916.623898649028,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper_fast/axi_filter_wrapper_fast_axi_filterwrapper/build/results.xml,axi_filter_wrapper_fast,axi_filterwrapper,tests.test_axi_filter_wrapper_fast,Sobel + Filter Wrapper,test_axi_filter_wrapper_fast_stress_heavy_randomized,tests.test_axi_filter_wrapper_fast,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper_fast.py,688,73.15349245071411,1194989.9999999998,16335.378667055485,pass
